link;interface;capacity;model
https://monitoreo11.cantv.net/mrtg/r20943-pos0000.log;CNT-BORDER-00 (POS0/0/0/0 - STM256-CNT-BORDER-00 CONEXIÓN CON CHC-DINT-00 0/3/0/0);0;CISCO
https://monitoreo11.cantv.net/mrtg/r19652-pos0400.log;PFI-BORDER-00 (POS0/4/0/0 - STM56-PFI-BORDER-00 CONEXIÓN CON BTO-DINT-00 POS0/3/0/0);0;CISCO
https://monitoreo11.cantv.net/mrtg/r19652-pos0500.log;PFI-BORDER-00 (POS0/5/0/0 - STM56-PFI-BORDER-00 CONEXIÓN CON CNT-DINT-00 POS0/5/0/0);0;CISCO
https://monitoreo11.cantv.net/mrtg/r27696-ge200hwi.log;LANAUTILUS I - CHC-HWBORDER-00 40GE2/0/0;40;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-ge210hwi.log;LANAUTILUS II - CHC-HWBORDER-00 40GE2/1/0;40;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-pos610hwi.log;LANAUTILUS I - CHC-HWBORDER-00 POS6/1/0;0;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-pos800hwi.log;LANAUTILUS II - CHC-HWBORDER-00 POS8/0/0;0;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-pos810hwi.log;LANAUTILUS III - CHC-HWBORDER-00 POS8/1/0;0;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-pos500hwi.log;LANAUTILUS V - CHC-HWBORDER-00 POS5/0/0;0;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-10ge1410hwi.log;BTSE I - CHC-HWBORDER-00 10GE14/1/0;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-100ge1610hwi.log;COLUMBUS IV - CHC-HWBORDER-00 100GE16/1/0;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwborde-00-10ge1412hwi.log;COLUMBUS XIII - CHC-HWBORDER-00 10GE14/1/2;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/echc-hwdint-01-10ge115hwi.log;COLUMBUS XIV (MOVISTAR) - CHC-HWDINT-01 10GE1/1/5;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/ecnt-hwborde-01-100ge200hwi.log;VTAL I - CNT-HWBORDER-01 100GE2/0/0;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/r27112-100ge100.log;COLUMBUS II - CNT-HWBORDER-01 100GE1/0/0;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/r27112-10ge110hwi.log;COLUMBUS X - CNT-HWBORDER-01 10GE1/1/0;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/r27112-10ge111hwi.log;COLUMBUS XI - CNT-HWBORDER-01 10GE1/1/1;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/er27116-10ge1110hwi.log;TGC I (MOVISTAR) - CNT-HWDINT-01 10GE1/1/10;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/ecnt-hwborde-01-ge113hwi.log;TGC II - CNT-HWBORDER-01 10GE1/1/3;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/ecnt-hwborde-01-10ge115hwi.log;TGC III - CNT-HWBORDER-01 10GE1/1/5;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/ecnt-hwborde-01-10ge114hwi.log;TGC VI - CNT-HWBORDER-01 10GE1/1/4;10;HUAWEI
https://monitoreo11.cantv.net/mrtg/rpfi-hwborde-01-100ge100.log;COLUMBUS I - PFI-HWBORDER-01 100GE1/0/0;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/rpfi-hwborde-01-100ge200.log;COLUMBUS III - PFI-HWBORDER-01 100GE2/0/0;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/rpfi-hwborde-01-100ge101.log;COLUMBUS VI - PFI-HWBORDER-01 100GE1/0/1;100;HUAWEI
https://monitoreo11.cantv.net/mrtg/escr-rai_borde-00-100ge100.log;VNET V - SCR-RAI_BORDE-00 100GE1/0/0;100;HUAWEI
